"Category","Feature_gate_in_plan","Line_item","Source","Free_or_included_before_overage","When_to_scale_Pro_or_paid_tier","Unit","Starter_USD_or_numeric_per_Unit_column","Growth_USD_or_numeric_per_Unit_column","Premium_USD_or_numeric_per_Unit_column","Notes"
"Supabase","(shared baseline)","Supabase Pro base (per project per month)","https://supabase.com/pricing","Pro monthly fee includes bundled quotas (DB size, file storage, egress, auth MAU caps per Supabase pricing page; not unlimited).","You are already on a paid tier. Scale up compute, disk, or move to Team/Enterprise when you hit quotas, need SLAs, or multi-project governance.","USD/mo","25","25","25","Shared platform bill, not per tenant. Applies to all plans because all tenants use the same backend."
"Supabase","(shared baseline)","Supabase compute (minimum example)","https://supabase.com/pricing","Compute may start at smallest instance included in your bill; confirm in dashboard.","Increase compute size when CPU, memory, or connection limits cause slow queries or errors.","USD/mo","10","10","10","Compute is billed separately by instance size. Use your actual instance size bill; $10/mo is a common minimum-sized compute example, verify on Supabase pricing."
"Supabase","(usage based)","Supabase DB storage overage (per GB-month)","https://supabase.com/pricing","Included GB-month on Pro before this per-GB rate applies.","Optimize schema, archive cold data, or add paid storage when consistently over included DB size.","USD/GB-mo","0.125","0.125","0.125","Unit rate. Actual bill depends on total DB size over included quota."
"Supabase","(usage based)","Supabase file storage overage (per GB-month)","https://supabase.com/pricing","Included file storage on Pro before overage.","Compress assets, use external object store, or pay overage when file volume grows past quota.","USD/GB-mo","0.021","0.021","0.021","Unit rate. Actual bill depends on total Storage used over included quota."
"Supabase","(usage based)","Supabase egress overage (per GB)","https://supabase.com/pricing","Included egress on Pro before overage.","Add caching, CDN, or reduce payload size; pay overage if traffic exceeds quota.","USD/GB","0.09","0.09","0.09","Unit rate. Actual bill depends on total bandwidth over included quota."
"Supabase","(optional add-on)","Supabase IPv4 add-on (per month)","https://supabase.com/pricing","Not included unless you subscribe to add-on.","Enable when you need stable outbound IPv4 for allowlists or integrations that require it.","USD/mo","4","4","4","Only if you enable dedicated IPv4. Otherwise set to 0."
"Supabase","(optional add-on)","Supabase PITR add-on (per month)","https://supabase.com/pricing","Not included unless you subscribe to add-on.","Add when you need point-in-time recovery for compliance or operational safety beyond backups.","USD/mo","100","100","100","Point-in-time recovery is an add-on on some plans. Only include if enabled; otherwise set to 0."
"Google Maps","Location & time zones (true for all)","Dynamic Maps loads (per 1000 after free cap)","https://developers.google.com/maps/billing-and-pricing/pricing","Typically 10000 Dynamic Maps loads/mo free per SKU (see free cap row); Google Cloud often gives monthly credits for new accounts (verify billing account).","Enable Cloud billing and set budget alerts before free tier exhaustion; optimize map loads (caching, static maps) when costs climb.","USD/1k loads","7","7","7","Unit rate after free cap. Actual bill depends on total map loads across all tenants."
"Google Maps","Location & time zones (true for all)","Geocoding requests (per 1000 after free cap)","https://developers.google.com/maps/billing-and-pricing/pricing","Typically 10000 geocoding requests/mo free per SKU; Cloud credits may apply.","Same as maps: monitor usage in Google Cloud console; batch or cache geocoding when approaching cap.","USD/1k req","5","5","5","Unit rate after free cap. Free cap is typically 10,000 events per month per SKU. Orbyt uses geocoding for address search and location tooling."
"Google Maps","(pricing detail)","Dynamic Maps free cap (events per month)","https://developers.google.com/maps/billing-and-pricing/pricing","This row is the free monthly event allowance for the SKU (not dollars).","After 10000/mo on this SKU, paid per-1k rate applies; plan capacity before launch traffic spikes.","events/mo (ref)","10000 (map loads/mo included free)","10000 (map loads/mo included free)","10000 (map loads/mo included free)","Not a price. Google monthly free allowance for this SKU before per-1k billing starts."
"Google Maps","(pricing detail)","Geocoding free cap (events per month)","https://developers.google.com/maps/billing-and-pricing/pricing","Free geocoding requests/mo before paid tier for this SKU.","Same as Dynamic Maps row: paid rates apply beyond cap.","events/mo (ref)","10000 (geocode requests/mo included free)","10000 (geocode requests/mo included free)","10000 (geocode requests/mo included free)","Not a price. Google monthly free allowance for geocoding before per-1k billing starts."
"Email","Email notifications (true for all)","Resend Pro base (50k emails per month)","https://resend.com/pricing","Listed Pro plan includes up to 50k emails/mo before overage (verify current Resend tiers).","Upgrade to higher Resend tier or enterprise when volume, deliverability, or support needs exceed 50k/mo or plan features.","USD/mo","20","20","20","Shared platform bill if you pay for Resend. Applies to all plans because all can send email notifications."
"Email","Email notifications (true for all)","Resend overage (per 1000 emails)","https://resend.com/pricing","Applies only after included sends in your paid tier are used.","If overage is frequent, move to a higher base tier so all-in cost is lower than overage stack.","USD/1k emails","0.90","0.90","0.90","Unit rate for overage on listed tiers. Actual depends on total emails beyond plan."
"Email","(pricing detail)","Resend Free tier included emails (per month)","https://resend.com/pricing","3000 sends/mo on Resend Free (reference; production usually uses Pro).","Move to Pro when you exceed 3k/mo, need higher rate limits, dedicated sending, or production SLAs.","emails/mo (ref)","3000 (emails/mo on Free tier ref)","3000 (emails/mo on Free tier ref)","3000 (emails/mo on Free tier ref)","Not a price. Included send volume on Resend Free for comparison; you may be on Pro instead."
"Hosting","(shared baseline)","Vercel Pro seat (per user-month)","https://vercel.com/pricing","Pro includes higher bandwidth, build minutes, and team features than Hobby (see Vercel pricing).","Add seats or talk to Vercel for Enterprise when you need SSO, compliance, or very large scale.","USD/seat-mo","20","20","20","Per seat pricing. Multiply by number of paid seats. Shared across all plans."
"Hosting","(shared baseline)","Vercel Hobby base","https://vercel.com/pricing","$0/mo with strict non-commercial and resource limits (bandwidth, functions, etc.).","Upgrade to Pro for production traffic, commercial use, team collaboration, and higher limits.","USD/mo","0","0","0","If you are on Hobby, base is $0 but you may hit limits quickly. Use Pro for production teams."
"Payments (reference)","Online payments (true for all)","Stripe online card percent (US)","https://stripe.com/pricing","No free processing; fee is a percent of each successful charge.","Not a SaaS Pro upgrade: rates are standard until very high volume (custom pricing).","decimal (percent)","0.029 (fee: 2.9% of each card charge)","0.029 (fee: 2.9% of each card charge)","0.029 (fee: 2.9% of each card charge)","Not USD. Multiply by payment amount to get fee in dollars. Usually paid by merchant, not platform COGS unless you absorb it."
"Payments (reference)","Online payments (true for all)","Stripe online card fixed fee (US, per transaction)","https://stripe.com/pricing","Per successful charge in addition to percent.","Same as percent row.","USD/txn","0.30","0.30","0.30","Fixed fee per successful transaction. Usually merchant paid; include only if platform absorbs fees."
"Payments (reference)","Online payments (true for all)","Stripe international card add-on percent (US)","https://stripe.com/pricing","Applies on top of base percent for international cards.","n/a","decimal (add-on)","0.015 (extra fee: +1.5% of charge on intl cards)","0.015 (extra fee: +1.5% of charge on intl cards)","0.015 (extra fee: +1.5% of charge on intl cards)","Not USD. Added on top of base card percent for international cards."
"Payments (reference)","Online payments (true for all)","Stripe currency conversion add-on percent","https://stripe.com/pricing","Applies when Stripe performs currency conversion.","n/a","decimal (add-on)","0.01 (extra fee: +1% of charge if FX needed)","0.01 (extra fee: +1% of charge if FX needed)","0.01 (extra fee: +1% of charge if FX needed)","Not USD. Added when Stripe applies currency conversion per their pricing."
"AI","AI Virtual Receptionist (false on Starter)","OpenAI GPT-4o mini input (per 1M tokens)","https://openai.com/api/pricing/","Usage billed per token; check OpenAI for any promotional credits (varies).","Raise org limits, use prepaid billing, or negotiate enterprise when monthly token spend is large or you need commitments.","USD/1M tokens in","0","0.75","0.75","Matches model in src/app/api/chat/receptionist/route.ts (gpt-4o-mini). Starter: feature off so 0 unless you override plan rules."
"AI","AI Virtual Receptionist (false on Starter)","OpenAI GPT-4o mini output (per 1M tokens)","https://openai.com/api/pricing/","Same account billing as input tokens.","Same as input row; output tokens usually dominate cost.","USD/1M tokens out","0","4.50","4.50","Output token rate. Applies only if AI is enabled on Growth/Premium. Verify rates on OpenAI pricing page."
"AI","AI Virtual Receptionist (false on Starter)","OpenAI web search tool (per 1000 calls)","https://openai.com/api/pricing/","Billed per call when feature enabled; no separate Pro tier for this line item.","Disable or rate-limit tool if search-call costs spike.","USD/1k calls","0","10","10","Only if you enable OpenAI web search tool usage in your AI flows. Reference list price."
"SMS (future)","SMS notifications (false on Starter)","SMS provider cost (per message)","n/a","Depends on carrier/provider; often pay-as-you-go per segment.","Choose Twilio (or other) paid plan when you implement SMS and know monthly volume.","USD/msg (TBD)","0 (no SMS integration yet)","TBD (USD per outbound SMS)","TBD (USD per outbound SMS)","Twilio is listed in UI, but no SMS sending integration was found in API routes. Replace TBD with your provider rate per message."
"SUMMARY","COGS per tenant (example)","Estimated cost to operate one account per month (USD)","n/a","n/a","n/a","USD/tenant-mo","2.75","4.45","7.40","Illustrative only: 25 active tenants, $65/mo shared stack even split ($2.60 each), plus usage ($0.15/$0.65/$1.80) and AI ($0/$1.20/$3.00). Not audited. Update when you have real bills and tenant count."
